2459795.70489 16.712 0.008 6.02 343.0
2459796.64628 16.737 0.007 5.21 324.0
2459797.69416 16.767 0.009 5.69 406.0
2459804.49879 16.741 0.009 5.05 522.0
2459804.66945 16.710 0.010 6.14 580.0
2459805.63569 16.779 0.008 4.84 446.0
2459806.64102 16.718 0.010 6.71 421.0
2459807.59619 16.728 0.007 5.40 307.0
2459808.58303 16.777 0.008 5.88 281.0
2459809.62884 16.706 0.008 6.25 280.0
2459810.71876 16.767 0.007 4.37 299.0
2459812.49452 16.779 0.010 7.13 322.0
2459813.67758 16.824 0.009 6.07 292.0
2459814.67259 16.713 0.009 6.89 353.0
2459815.69883 16.735 0.007 4.98 346.0
2459817.48840 16.766 0.008 5.41 364.0
2459818.54205 16.731 0.010 7.24 389.0
2459819.67512 16.800 0.007 4.29 416.0
2459821.53658 16.705 0.008 5.85 296.0
2459823.56254 16.736 0.010 6.92 390.0
2459824.67412 16.803 0.008 5.71 372.0
2459830.66718 16.816 0.013 6.86 886.0
2459832.52882 16.715 0.011 6.92 604.0
2459834.60943 16.739 0.009 5.59 573.0
2459836.49465 16.775 0.012 7.87 476.0
2459838.61813 16.764 0.008 5.58 416.0
2459841.52552 16.736 0.008 5.86 391.0
2459843.61372 16.731 0.009 6.41 391.0
2459845.54357 16.761 0.009 6.35 335.0
2459851.56033 16.697 0.010 6.98 413.0
2459852.61897 16.777 0.008 5.29 436.0
2459859.58942 16.701 0.009 5.08 721.0
2459863.52561 16.738 0.009 5.86 588.0
2459867.50473 16.757 0.010 5.84 606.0
2459993.85682 16.549 0.007 6.06 432.0
2459997.83983 16.569 0.008 5.97 459.0
2460001.85085 16.553 0.006 4.30 437.0
2460005.85024 16.563 0.006 4.52 444.0
2460009.82948 16.547 0.007 4.96 611.0
2460013.88132 16.508 0.006 4.13 434.0
2460016.81335 16.469 0.007 5.24 664.0
2460022.79177 16.499 0.007 5.76 331.0
2460025.76609 16.471 0.006 5.63 346.0
2460027.87691 16.473 0.006 5.28 354.0
2460030.77408 16.412 0.005 4.76 317.0
2460032.83170 16.375 0.005 4.59 294.0
2460034.87690 16.387 0.005 4.63 316.0
2460037.83345 16.371 0.005 4.65 369.0
2460040.73885 16.399 0.007 5.30 747.0
2460042.74474 16.398 0.006 4.98 619.0
2460043.90678 16.346 0.006 4.38 629.0
2460049.88089 16.350 0.005 4.36 344.0
2460052.84182 16.295 0.005 5.05 363.0
2460056.73374 16.368 0.006 5.99 368.0
2460058.81207 16.278 0.005 5.26 360.0
2460060.80341 16.202 0.005 4.77 384.0
2460062.85433 16.176 0.005 4.49 360.0
2460066.71799 16.168 0.005 4.76 412.0
2460068.67289 16.220 0.007 6.20 661.0
2460069.91115 16.200 0.006 4.17 786.0
2460075.92190 16.102 0.005 4.48 757.0
2460085.67037 16.042 0.007 7.27 378.0
2460089.63577 15.971 0.006 6.24 485.0
2460091.64296 15.942 0.006 5.94 526.0
2460094.62172 15.905 0.005 5.39 581.0
2460096.59291 16.021 0.006 5.13 597.0
2460097.78134 15.974 0.006 5.18 653.0
2460098.82167 15.889 0.008 6.86 1397.0
2460105.56777 15.847 0.005 6.41 392.0
2460106.81958 15.848 0.005 6.14 358.0
2460108.68894 15.812 0.005 6.44 330.0
2460110.53467 15.888 0.006 6.90 532.0
2460111.75777 15.955 0.005 5.14 352.0
2460112.85749 15.766 0.005 5.13 447.0
2460114.78537 15.853 0.006 6.93 466.0
2460118.85849 15.775 0.004 5.73 459.0
2460120.73497 15.814 0.005 6.66 327.0
2460122.67390 15.779 0.005 5.28 357.0
2460124.51881 15.903 0.006 6.15 637.0
2460125.69951 15.818 0.005 4.94 593.0
2460130.63662 15.737 0.005 5.24 702.0
2460132.60662 15.804 0.005 5.92 584.0
2460134.68749 15.911 0.004 5.25 378.0
2460140.50901 15.900 0.006 6.54 365.0
2460141.79824 15.885 0.005 6.12 425.0
2460143.82887 15.861 0.005 5.84 406.0
2460149.69264 15.885 0.004 5.49 335.0
2460153.51731 15.918 0.006 6.04 560.0
2460153.78031 15.985 0.006 5.57 1142.0
2460157.77702 15.974 0.006 4.51 1275.0
2460159.73896 16.022 0.006 5.36 593.0
2460160.76273 16.033 0.006 6.04 643.0
2460168.49583 16.232 0.006 5.57 354.0
2460170.50372 16.117 0.005 4.94 318.0
2460172.55739 16.120 0.006 6.18 333.0
2460175.63081 16.193 0.006 5.62 425.0
2460180.50545 16.232 0.007 5.65 453.0
2460186.54788 16.243 0.007 4.88 662.0
2460191.65006 16.311 0.009 7.73 555.0
2460202.54179 16.394 0.007 5.36 361.0
2460204.62873 16.428 0.008 6.03 439.0
2460213.59634 16.438 0.010 7.04 648.0
2460218.60286 16.483 0.010 7.06 677.0
2460225.59103 16.539 0.010 7.27 525.0
2460229.56218 16.612 0.010 6.93 541.0
2460243.52857 16.624 0.011 6.28 733.0
2460255.50848 16.602 0.013 7.26 958.0
2460357.88586 16.752 0.009 4.80 581.0
2460368.86278 16.759 0.009 5.32 494.0
2460376.86943 16.789 0.011 6.22 505.0
2460379.85165 16.782 0.009 5.59 387.0
